id,img_generation_promt,rating,img_path
1,Beautiful animation and lighting shots of 3d characters and creatures.,1,all_data/1/1.jpg
2,"New jersey landscape landscape photography, the new jersey city skyline view from a train, artstation photo, the new jersey land",2,all_data/2/2.jpg
3,"Hyper realistic, 3d real, 8k, photorealistic, cinematic composition, realistic 3d city, octane render, art station, architecture",2,all_data/2/3.jpg
4,"The first painting I did, a big canvas using all the digital tools I know.",2,all_data/2/4.jpg
5,"Landscape mountain forest natural, natural, forest, mountain, mountain climbing, mountain climbing, mountains mountain peaks, mo",1,all_data/1/5.jpg
6,"Forest, trees, leaves, clouds, mountains, forest, sunlight, tree, fog, tree.",2,all_data/2/6.jpg
7,"Hyper realistic glass city made up of millions of tiny pieces, 8k, octane, unreal engine 2019, city design,.",2,all_data/2/7.jpg
8,"A mysterious magical, haunted creature, a mythical beast, a fairy and magic creature fantasy, a monster, an imaginary creature d",2,all_data/2/8.jpg
9,"Castle, Fantasy Land, Filled with magic, dark fantasy, high tech, a mysterious.",2,all_data/2/9.jpg
10,"A small village, ruined palace, old architecture, atmosphere, village.",2,all_data/2/10.jpg
11,House in city street in a modern contemporary architecture.,1,all_data/1/11.jpg
12,"A detailed portrait of an artist painting a beautiful model in art college,.",1,all_data/1/12.jpg
13,"Browsing in a cyber café, computer monitor, laptop computer, monitor.",1,all_data/1/13.jpg
14,A look into the future based on the current world.,1,all_data/1/14.jpg
15,"The cover of the first Iron Maiden album, cinematic, epic, heroic, glamourous.",2,all_data/2/15.jpg
16,"This is a scene featuring the city landscape where the buildings appear on a beach, i have added this for the beach, i have used",2,all_data/2/16.jpg
17,"Rough ocean storm cinematic, hyper realistic, 8k, epic composition, octane render, artstation landscape vista photography.",2,all_data/2/17.jpg
18,"The city center of nelson, new zealand, australia street.",2,all_data/2/18.jpg
19,"Waterfalls background, mountain lake, waterfalls, waterfall effect, high.",2,all_data/2/19.jpg
20,"The Legend of Zelda 3d landscape, epic, 8K, rendered in octane.",1,all_data/1/20.jpg
21,A postcard showing how to fold a paper with a different texture texture.,1,all_data/1/21.jpg
22,"Realistic character design of a character, realistic, stylised, stylised character, realistic.",1,all_data/1/22.jpg
23,The concept for the title sequence of this series.,2,all_data/2/23.jpg
24,"Interior and exterior of house, furniture design, industrial design,.",2,all_data/2/24.jpg
25,"An oil refinery in 2020, industrial, hyper realistic, 8k, epic composition, cinematic, octane render, artstation landscape vista",2,all_data/2/25.jpg
26,"3D design, 3D modeling and 3D rendering, animation, industrial.",2,all_data/2/26.jpg
27,"Hyper realistic city city in the year 2000, atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artsta",3,all_data/3/27.jpg
28,Dark and stormy sky with clouds and fog.,2,all_data/2/28.jpg
29,"Amazing castle and countryside design and illustration, artstation, futuristic, 3d, hyper detailed, new modern.",2,all_data/2/29.jpg
30,"Dark forest night, epic sky views, at night, forest, forest at night, outdoor, beautiful views.",2,all_data/2/30.jpg
31,"SciFi scene concept, science fiction, 8k, epic background with hyper detailed character.",2,all_data/2/31.jpg
32,"Full image, with background, character & props details, d & d concept art, background hyper detailed.",2,all_data/2/32.jpg
33,A view on a very old but strong ancient.,1,all_data/1/33.jpg
34,"Vintage sports cars, racing cars, classic cars, Ferrari, Lamborghini.",1,all_data/1/34.jpg
35,"Landscapes, at the beach or outside a hotel.",2,all_data/2/35.jpg
36,"Night sky, rain, lightning, clouds, stars, night, day, day moon.",2,all_data/2/36.jpg
37,"Ancient temple ruins and ruins of war, ancient indonesian villages, warriors and.",1,all_data/1/37.jpg
38,"Legend of Zelda castle at night, epic, atmosphere, night landscape,.",2,all_data/2/38.jpg
39,"A city landscape shot of New York City, a lot of details in the buildings, the cityscape has lots of details, including the brid",2,all_data/2/39.jpg
40,"A city view from high up in a futuristic, near future, skyscraper architecture.",2,all_data/2/40.jpg
41,"The living room of a wooden house, cozy fireplace, d & d wallpaper.",2,all_data/2/41.jpg
42,"Fantasy art, art, fantasy, fantasy illustration, fantasy artist, fantasy image, monster character, character.",1,all_data/1/42.jpg
43,"A post apocalyptic landscape, destroyed futuristic world, wasteland, post world war 3, future world, a city in the sky, post.",2,all_data/2/43.jpg
44,An attractive portrait concept drawn for a tv show or movie for a tv show or movie concept about real life issues (.,2,all_data/2/44.jpg
45,"Indonesian village and warriors, epic, concept art, matte painting.",2,all_data/2/45.jpg
46,"A cinematic and hyper realistic urban jungle scene, 8K, cinematic, octane render.",2,all_data/2/46.jpg
47,"An artsy and detailed city in 2100, atmospheric, hyper realistic, 8k, epic composition, cinematic, octane render, artstation lan",2,all_data/2/47.jpg
48,"Beautiful city in the rain, interior, cityscape, architecture, night exterior.",2,all_data/2/48.jpg
49,"Water fall, water fall with fish, water fall, waterfall, pool, pool with fish,.",2,all_data/2/49.jpg
50,Black and white abstract art work by leonardo davinci's.,1,all_data/1/50.jpg
51,A set of modern wallpapers inspired by the works.,3,all_data/3/51.jpg
52,"A colorful animated painting of an elephant with a beautiful view, fantasy, a large.",2,all_data/2/52.jpg
53,Beautiful images of the ancient indonesian and indonesian culture in a.,1,all_data/1/53.jpg
54,"A beautiful sunset, landscape, urban, photo realistic, modern, realistic.",1,all_data/1/54.jpg
55,"Cute dogs, urban vista, realistic, 8k, octane render, cinematic, artstation landscape photography, realistic, architectural.",1,all_data/1/55.jpg
56,A scene of a battle between a dragon and a samurai.,1,all_data/1/56.jpg
57,"The house is very elegant with a small garden and a patio, is located in the countryside, in a private building, a great landsca",2,all_data/2/57.jpg
58,"Clear and concise concept of an architectural style, vector, image, modern.",2,all_data/2/58.jpg
59,"A 3d model of a cute bunny, 3d.",2,all_data/2/59.jpg
60,"Close up in the city and traffic, detailed cityscapes, modern architecture, contemporary cityscape render.",2,all_data/2/60.jpg
61,"The world map, the world in a map, the world, atlas, fantasy, cartography, fantasy, fantasy art, adventure, world map,.",2,all_data/2/61.jpg
62,"Aerial views of a city, architecture, top quality, architecture, a single structure is very recognizable, architecture.",2,all_data/2/62.jpg
63,"Architectural render, a design for a city center, industrial, design.",2,all_data/2/63.jpg
64,"A scene with various lights and lines, a large neon sign, an office with a window view,.",2,all_data/2/64.jpg
65,"Medieval castle nathria, night, raining, dark, huge castle and.",2,all_data/2/65.jpg
66,"Landscape architectural rendering of a futuristic city, hyper realistic, 8k, epic composition, cinematic, octane render, artstat",2,all_data/2/66.jpg
67,"A still of a bird in flight, aerial view, photo realistic, 8k, epic composition, cinematic, octane render, artstation landscape.",2,all_data/2/67.jpg
68,"A futuristic hyper realistic space city, octane renderer, epic space vista image,.",2,all_data/2/68.jpg
69,"A beautiful futuristic portrait covered by mask made of wires and black pearl,.",2,all_data/2/69.jpg
70,A piece of film and television screen writing describing every screen with every word.,1,all_data/1/70.jpg
71,"Epic, hyper realism, hyper naturalistic portrait of a character, 8k, high resolution, 8bit art, photo realistic landscape.",2,all_data/2/71.jpg
72,"A modern architecture built on top of abandoned mountain village,.",2,all_data/2/72.jpg
73,"A great portrait of a fantasy character, detail of a dragon flying above the city with buildings in the background, urban backgr",1,all_data/1/73.jpg
74,"City landscape, octane render, 8k, atmospheric, epic, cinematic, atmospheric, 3d.",2,all_data/2/74.jpg
75,"A scene from a film I am interested in, I would add lots of atmospheric props, and lighting to the scene.",2,all_data/2/75.jpg
76,"This work of art, a magical looking character based on the fantasy genre, character concept art,.",1,all_data/1/76.jpg
