,id,img_name,img_generation_promt,rating
0,1,3_Beautiful_animation_and_lighting_shots_of_3d_characters_and_creatures..jpg,3_Beautiful_animation_and_lighting_shots_of_3d_characters_and_creatures.,2
1,2,"3_New_jersey_landscape_landscape_photography,_the_new_jersey_city_skyline_view_from_a_train,_artstation_photo,_the_new_jersey_land.jpg","3_New_jersey_landscape_landscape_photography,_the_new_jersey_city_skyline_view_from_a_train,_artstation_photo,_the_new_jersey_land",3
2,3,"3_Hyper_realistic,_3d_real,_8k,_photorealistic,_cinematic_composition,_realistic_3d_city,_octane_render,_art_station,_architecture.jpg","3_Hyper_realistic,_3d_real,_8k,_photorealistic,_cinematic_composition,_realistic_3d_city,_octane_render,_art_station,_architecture",3
3,4,"3_The_first_painting_I_did,_a_big_canvas_using_all_the_digital_tools_I_know..jpg","3_The_first_painting_I_did,_a_big_canvas_using_all_the_digital_tools_I_know.",3
4,5,"3_Landscape_mountain_forest_natural,_natural,_forest,_mountain,_mountain_climbing,_mountain_climbing,_mountains_mountain_peaks,_mo.jpg","3_Landscape_mountain_forest_natural,_natural,_forest,_mountain,_mountain_climbing,_mountain_climbing,_mountains_mountain_peaks,_mo",2
5,6,"3_Forest,_trees,_leaves,_clouds,_mountains,_forest,_sunlight,_tree,_fog,_tree..jpg","3_Forest,_trees,_leaves,_clouds,_mountains,_forest,_sunlight,_tree,_fog,_tree.",3
6,7,"3_Hyper_realistic_glass_city_made_up_of_millions_of_tiny_pieces,_8k,_octane,_unreal_engine_2019,_city_design,..jpg","3_Hyper_realistic_glass_city_made_up_of_millions_of_tiny_pieces,_8k,_octane,_unreal_engine_2019,_city_design,.",3
7,8,"3_A_mysterious_magical,_haunted_creature,_a_mythical_beast,_a_fairy_and_magic_creature_fantasy,_a_monster,_an_imaginary_creature_d.jpg","3_A_mysterious_magical,_haunted_creature,_a_mythical_beast,_a_fairy_and_magic_creature_fantasy,_a_monster,_an_imaginary_creature_d",3
8,9,"3_Castle,_Fantasy_Land,_Filled_with_magic,_dark_fantasy,_high_tech,_a_mysterious..jpg","3_Castle,_Fantasy_Land,_Filled_with_magic,_dark_fantasy,_high_tech,_a_mysterious.",3
9,10,"3_A_small_village,_ruined_palace,_old_architecture,_atmosphere,_village..jpg","3_A_small_village,_ruined_palace,_old_architecture,_atmosphere,_village.",3
10,11,3_House_in_city_street_in_a_modern_contemporary_architecture..jpg,3_House_in_city_street_in_a_modern_contemporary_architecture.,2
11,12,"3_A_detailed_portrait_of_an_artist_painting_a_beautiful_model_in_art_college,..jpg","3_A_detailed_portrait_of_an_artist_painting_a_beautiful_model_in_art_college,.",2
12,13,"3_Browsing_in_a_cyber_café,_computer_monitor,_laptop_computer,_monitor..jpg","3_Browsing_in_a_cyber_café,_computer_monitor,_laptop_computer,_monitor.",2
13,14,3_A_look_into_the_future_based_on_the_current_world..jpg,3_A_look_into_the_future_based_on_the_current_world.,2
14,15,"3_The_cover_of_the_first_Iron_Maiden_album,_cinematic,_epic,_heroic,_glamourous..jpg","3_The_cover_of_the_first_Iron_Maiden_album,_cinematic,_epic,_heroic,_glamourous.",3
15,16,"3_This_is_a_scene_featuring_the_city_landscape_where_the_buildings_appear_on_a_beach,_i_have_added_this_for_the_beach,_i_have_used.jpg","3_This_is_a_scene_featuring_the_city_landscape_where_the_buildings_appear_on_a_beach,_i_have_added_this_for_the_beach,_i_have_used",3
16,17,"3_Rough_ocean_storm_cinematic,_hyper_realistic,_8k,_epic_composition,_octane_render,_artstation_landscape_vista_photography..jpg","3_Rough_ocean_storm_cinematic,_hyper_realistic,_8k,_epic_composition,_octane_render,_artstation_landscape_vista_photography.",3
17,18,"3_The_city_center_of_nelson,_new_zealand,_australia_street..jpg","3_The_city_center_of_nelson,_new_zealand,_australia_street.",3
18,19,"3_Waterfalls_background,_mountain_lake,_waterfalls,_waterfall_effect,_high..jpg","3_Waterfalls_background,_mountain_lake,_waterfalls,_waterfall_effect,_high.",3
19,20,"3_The_Legend_of_Zelda_3d_landscape,_epic,_8K,_rendered_in_octane..jpg","3_The_Legend_of_Zelda_3d_landscape,_epic,_8K,_rendered_in_octane.",2
20,21,3_A_postcard_showing_how_to_fold_a_paper_with_a_different_texture_texture..jpg,3_A_postcard_showing_how_to_fold_a_paper_with_a_different_texture_texture.,2
21,22,"3_Realistic_character_design_of_a_character,_realistic,_stylised,_stylised_character,_realistic..jpg","3_Realistic_character_design_of_a_character,_realistic,_stylised,_stylised_character,_realistic.",2
22,23,3_The_concept_for_the_title_sequence_of_this_series..jpg,3_The_concept_for_the_title_sequence_of_this_series.,3
23,24,"3_Interior_and_exterior_of_house,_furniture_design,_industrial_design,..jpg","3_Interior_and_exterior_of_house,_furniture_design,_industrial_design,.",3
